,QID,text_id,sentence,original_label,label,label_index,rationale,rationale_index,age,ethnicity,gender,english_proficiency,attentioncheck,Zuco_id,group_id,recruitment_ethnicity,recruitment_age,sst2_id,sst2_split,rationale_binary,annotator_ID
156,QID557,19,"What makes How I Killed My Father compelling, besides its terrific performances, is Fontaine's willingness to wander into the dark areas of parent-child relationships without flinching.",positive,positive,1,"compelling,,terrific,performances,","[7, 10, 11]",27,African,Male,Very well,PASSED,335,BY,Black/African American,<=35,22843,train,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",144
157,QID525,3,Exudes the fizz of a Busby Berkeley musical and the visceral excitement of a sports extravaganza.,positive,positive,1,visceral,[10],31,African,Female,Well,PASSED,305,BY,Black/African American,<=35,22941,train,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",173
158,QID931,206,"A dim-witted and lazy spin-off of the Animal Planet documentary series, Crocodile Hunter is entertainment opportunism at its most glaring.",negative,negative,2,"dim-witted,lazy,spin-off,opportunism","[1, 3, 4, 15]",34,Black/African American,Female,Very well,PASSED,610,BY,Black/African American,<=35,23110,train,"[0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",145
160,QID949,215,"This is an extraordinary film, not least because it is Japanese and yet feels universal.",positive,positive,1,"extraordinary,feels,universal.","[3, 13, 14]",26,African,Female,Very well,PASSED,623,BY,Black/African American,<=35,24602,train,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",114
162,QID697,89,"Thanks to a small star with big heart, this family film sequel is plenty of fun for all.",positive,positive,1,"Thanks,big,heart,,family,fun","[0, 6, 7, 9, 15]",30,African,Male,Well,PASSED,432,BY,Black/African American,<=35,24787,train,"[1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",150
163,QID1041,261,"Bray is completely at sea; with nothing but a Savage Garden music video on his resume, he has no clue about making a movie.",negative,no sentiment,3,"is,at,with,he,has,no","[1, 3, 5, 16, 17, 18]",30,African,Male,Very well,PASSED,696,BY,Black/African American,<=35,24788,train,"[0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0]",127
165,QID991,236,"Co-writer/director Jonathan Parker's attempts to fashion a Brazil-like, hyper-real satire fall dreadfully short.",negative,negative,2,"attempts,to,fashion,a,Brazil-like,,hyper-real,satire,fall,dreadfully,short.","[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",25,African,Female,Very well,PASSED,662,BY,Black/African American,<=35,25097,train,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",169
166,QID993,237,"An amateurish, quasi-improvised acting exercise shot on ugly digital video.",negative,negative,2,"amateurish,,quasi-improvised,acting,shot,on,ugly,digital,video.","[1, 2, 3, 5, 6, 7, 8, 9]",25,African,Female,Very well,PASSED,663,BY,Black/African American,<=35,25253,train,"[0, 1, 1, 1, 0, 1, 1, 1, 1, 1]",169
167,QID579,30,"At times, the movie looks genuinely pretty.",positive,positive,1,"looks,genuinely,pretty.","[4, 5, 6]",21,Black/African American,Female,Very well,PASSED,347,BY,Black/African American,<=35,25338,train,"[0, 0, 0, 0, 1, 1, 1]",101
168,QID901,191,This stuck pig of a movie flails limply between bizarre comedy and pallid horror.,negative,negative,2,pig,[2],23,African,Female,Very well,PASSED,577,BY,Black/African American,<=35,25694,train,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",131
169,QID881,181,The most compelling performance of the year adds substantial depth to this shocking testament to anti-Semitism and neo-fascism.,positive,negative,2,"shocking,anti-Semitism,neo-fascism.","[12, 15, 17]",32,African,Female,Very well,PASSED,559,BY,Black/African American,<=35,26146,train,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1]",198
171,QID681,81,"No French people were harmed during the making of this movie, but they were insulted and the audience was put through torture for an hour and a half.",negative,negative,2,"insulted,torture","[14, 21]",30,African,Male,Well,PASSED,419,BY,Black/African American,<=35,27443,train,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",150
172,QID585,33,"Sparkling, often hilarious romantic jealousy comedy... Attal looks so much like a young Robert DeNiro that it seems the film should instead be called `My Husband Is Travis Bickle'.",positive,positive,1,"Sparkling,,often,hilarious","[0, 1, 2]",21,Black/African American,Female,Very well,PASSED,351,BY,Black/African American,<=35,27502,train,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",101
173,QID925,203,"This enthralling documentary... is at once playful and haunting, an in-depth portrait of an iconoclastic artist who was fundamentally unknowable even to his closest friends.",positive,no sentiment,3,in-depth,[10],34,Black/African American,Female,Very well,PASSED,603,BY,Black/African American,<=35,27544,train,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",145
174,QID821,151,"It's difficult to conceive of anyone who has reached puberty actually finding the characters in Slackers or their antics amusing, let alone funny.",negative,negative,2,"their,antics,amusing,,let,alone,funny.","[17, 18, 19, 20, 21, 22]",34,Black/African American,Male,Very well,PASSED,513,BY,Black/African American,<=35,27649,train,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1]",141
175,QID1027,254,"This picture is murder by numbers, and as easy to be bored by as your ABC's, despite a few whopping shootouts.",negative,negative,2,"easy,to,be,bored","[8, 9, 10, 11]",30,African,Male,Very well,PASSED,686,BY,Black/African American,<=35,27797,train,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",127
176,QID707,94,What should have been a cutting Hollywood satire is instead about as fresh as last week's issue of Variety.,negative,negative,2,"as,fresh,as,last,week's,issue,of,Variety.","[11, 12, 13, 14, 15, 16, 17, 18]",23,Black/African American,Female,Very well,PASSED,441,BY,Black/African American,<=35,28024,train,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",108
177,QID625,53,... a bland murder-on-campus yawner.,negative,negative,2,"murder-on-campus,yawner.","[3, 4]",30,African,Female,Very well,PASSED,380,BY,Black/African American,<=35,28089,train,"[0, 0, 0, 1, 1]",138
178,QID845,163,"A thoroughly awful movie -- dumb, narratively chaotic, visually sloppy... a weird amalgam of `The Thing' and a geriatric `Scream.'",negative,negative,2,"awful,dumb,,chaotic,,sloppy...,weird","[2, 5, 7, 9, 11]",22,African,Female,Very well,PASSED,529,BY,Black/African American,<=35,28444,train,"[0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",202
179,QID777,129,Audiard successfully maintains suspense on different levels throughout a film that is both gripping and compelling.,positive,positive,1,"successfully,gripping,compelling.","[1, 13, 15]",24,African,Male,Very well,PASSED,485,BY,Black/African American,<=35,29160,train,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]",165
180,QID565,23,Crush could be the worst film a man has made about women since Valley of the Dolls.,negative,negative,2,"worst,film,man,has,made","[4, 5, 7, 8, 9]",27,Black/African American,Female,Very well,PASSED,339,BY,Black/African American,<=35,29269,train,"[0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",164
181,QID915,198,A movie so bad that it quickly enters the pantheon of wreckage that includes Battlefield Earth and Showgirls.,negative,negative,2,bad,[3],23,African,Female,Very well,PASSED,595,BY,Black/African American,<=35,29702,train,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",131
182,QID1033,257,"Starts out mediocre, spirals downward, and thuds to the bottom of the pool with an utterly incompetent conclusion.",negative,negative,2,"mediocre,,spirals,downward,,utterly,incompetent","[2, 3, 4, 15, 16]",30,African,Male,Very well,PASSED,691,BY,Black/African American,<=35,29721,train,"[0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",127
183,QID611,46,"Whatever heartwarming scene the impressively discreet filmmakers may have expected to record with their mini DV, they show a remarkable ability to document both sides of this emotional car-wreck.",positive,positive,1,"heartwarming,scene,impressively,discreet,remarkable,ability,emotional,car-wreck.","[1, 2, 4, 5, 19, 20, 27, 28]",25,African,Female,Very well,PASSED,371,BY,Black/African American,<=35,30034,train,"[0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1]",174
184,QID627,54,In comparison to his earlier films it seems a disappointingly thin slice of lower-class London life; despite the title... amounts to surprisingly little.,negative,negative,2,disappointingly,[9],30,African,Female,Very well,PASSED,381,BY,Black/African American,<=35,30183,train,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",138
185,QID963,222,An exhilarating experience.,positive,positive,1,exhilarating,[1],27,African,Female,Very well,PASSED,639,BY,Black/African American,<=35,31302,train,"[0, 1, 0]",197
187,QID835,158,"After sitting through this sloppy, made-for-movie comedy special, it makes me wonder if Lawrence hates criticism so much that he refuses to evaluate his own work.",negative,negative,2,"this,sloppy,,makes,me,wonder","[3, 4, 9, 10, 11]",34,Black/African American,Male,Very well,PASSED,523,BY,Black/African American,<=35,32055,train,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",141
188,QID753,117,"A bittersweet contemporary comedy about benevolent deception, which, while it may not rival the filmmaker's period pieces, is still very much worth seeing.",positive,no sentiment,3,"bittersweet,contemporary","[1, 2]",32,African,Female,Very well,PASSED,468,BY,Black/African American,<=35,32190,train,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",192
189,QID829,155,It's a funny little movie with clever dialogue and likeable characters.,positive,positive,1,"funny,little,movie,with,clever,dialogue,likeable,characters.","[2, 3, 4, 5, 6, 7, 9, 10]",34,Black/African American,Male,Very well,PASSED,518,BY,Black/African American,<=35,32851,train,"[0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1]",141
190,QID703,92,"For those for whom the name Woody Allen was once a guarantee of something fresh, sometimes funny, and usually genuinely worthwhile, Hollywood Ending is a depressing experience.",negative,negative,2,"depressing,experience.","[25, 26]",23,Black/African American,Female,Very well,PASSED,438,BY,Black/African American,<=35,33235,train,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",108
191,QID687,84,"A stupid, derivative horror film that substitutes extreme gore for suspense.",negative,negative,2,"stupid,,derivative","[1, 2]",30,African,Male,Well,PASSED,424,BY,Black/African American,<=35,33358,train,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",150
192,QID645,63,"Even a hardened voyeur would require the patience of Job to get through this interminable, shapeless documentary about the swinging subculture.",negative,negative,2,"hardened,voyeur,interminable,,shapeless,swinging,subculture.","[2, 3, 14, 15, 19, 20]",27,African,Female,Very well,PASSED,396,BY,Black/African American,<=35,33681,train,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1]",123
194,QID677,79,"Apparently, romantic comedy with a fresh point of view just doesn't figure in the present Hollywood program.",negative,negative,2,"doesn't,figure,in","[10, 11, 12]",28,African,Male,Very well,PASSED,416,BY,Black/African American,<=35,34817,train,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0]",166
195,QID785,133,"A loud, ugly, irritating movie without any of its satirical salvos hitting a discernible target.",negative,negative,2,"loud,,ugly,,irritating,discernible","[1, 2, 3, 13]",24,Black/African American,Female,Very well,PASSED,490,BY,Black/African American,<=35,35344,train,"[0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",193
196,QID593,37,"A strong script, powerful direction and splendid production design allows us to be transported into the life of Wladyslaw Szpilman, who is not only a pianist, but a good human being.",positive,positive,1,"splendid,production","[6, 7]",21,Black/African American,Female,Very well,PASSED,355,BY,Black/African American,<=35,35518,train,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",101
197,QID877,179,"This method almost never fails him, and it works superbly here.",positive,positive,1,"never,fails,works,superbly","[3, 4, 8, 9]",30,African,Male,Very well,PASSED,555,BY,Black/African American,<=35,36594,train,"[0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0]",179
198,QID527,4,The film rehashes several old themes and is capped with pointless extremes -- it's insanely violent and very graphic.,negative,negative,2,"pointless,extremes","[10, 11]",31,African,Female,Well,PASSED,306,BY,Black/African American,<=35,36879,train,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",173
200,QID647,64,A lame romantic comedy about an unsympathetic character and someone who would not likely be so stupid as to get involved with her.,negative,negative,2,"lame,unsympathetic,stupid","[1, 6, 16]",27,African,Female,Very well,PASSED,398,BY,Black/African American,<=35,37656,train,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",123
201,QID701,91,under-rehearsed and lifeless,negative,negative,2,"under-rehearsed,lifeless","[0, 2]",23,Black/African American,Female,Very well,PASSED,435,BY,Black/African American,<=35,37928,train,"[1, 0, 1]",108
202,QID1037,259,Its engaging simplicity is driven by appealing leads.,positive,no sentiment,3,"Its,engaging,simplicity","[0, 1, 2]",30,African,Male,Very well,PASSED,693,BY,Black/African American,<=35,38200,train,"[1, 1, 1, 0, 0, 0, 0, 0]",127
203,QID989,235,"This odd, poetic road movie, spiked by jolts of pop music, pretty much takes place in Morton's ever-watchful gaze -- and it's a tribute to the actress, and to her inventive director, that the journey is such a mesmerizing one.",positive,positive,1,"inventive,mesmerizing","[30, 38]",25,African,Female,Very well,PASSED,661,BY,Black/African American,<=35,38498,train,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",169
205,QID935,208,One of the most exciting action films to come out of China in recent years.,positive,no sentiment,3,"One,the,most","[0, 2, 3]",34,Black/African American,Female,Very well,PASSED,613,BY,Black/African American,<=35,39361,train,"[1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",145
206,QID683,82,"I was feeling this movie until it veered off too far into the Exxon zone, and left me behind at the station looking for a return ticket to realism.",negative,negative,2,"veered,Exxon,return","[7, 13, 25]",30,African,Male,Well,PASSED,420,BY,Black/African American,<=35,39520,train,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",150
207,QID615,48,"It has fun with the quirks of family life, but it also treats the subject with fondness and respect.",positive,positive,1,"fun,fondness,respect.","[2, 16, 18]",25,African,Female,Very well,PASSED,373,BY,Black/African American,<=35,39650,train,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]",174
208,QID917,199,"If you're over 25, have an IQ over 90, and have a driver's license, you should be able to find better entertainment.",negative,positive,1,entertainment.,[21],23,African,Female,Very well,PASSED,596,BY,Black/African American,<=35,39688,train,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",131
209,QID747,114,"Even by the intentionally low standards of frat-boy humor, Sorority Boys is a bowser.",negative,no sentiment,3,"low,standards,Sorority,Boys","[4, 5, 9, 10]",32,African,Female,Very well,PASSED,464,BY,Black/African American,<=35,39806,train,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0]",192
210,QID893,187,"If you enjoy being rewarded by a script that assumes you aren't very bright, then Blood Work is for you.",negative,negative,2,"enjoy,being,rewarded,script,assumes,you,aren't,very,bright,,Blood,Work,is,for,you.","[2, 3, 4, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19]",32,African,Female,Very well,PASSED,570,BY,Black/African American,<=35,39855,train,"[0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]",198
211,QID559,20,"This hastily mounted production exists only to capitalize on Hopkins' inclination to play Hannibal Lecter again, even though Harris has no immediate inclination to provide a fourth book.",negative,negative,2,"This,hastily,mounted,production,exists,only,to,capitalize,on,Hopkins',inclination,to,play,Hannibal,Lecter,again,","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",27,Black/African American,Female,Very well,PASSED,336,BY,Black/African American,<=35,39868,train,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",164
213,QID735,108,The cast is top-notch and I predict there will be plenty of female audience members drooling over Michael Idemoto as Michael.,positive,no sentiment,3,"The,cast,is,top-notch","[0, 1, 2, 3]",24,Black/African American,Female,Very well,PASSED,458,BY,Black/African American,<=35,40217,train,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",149
214,QID743,112,It's anchored by splendid performances from an honored screen veteran and a sparkling newcomer who instantly transform themselves into a believable mother/daughter pair.,positive,positive,1,"splendid,performances,honored,veteran,sparkling,newcomer,transform,believable,mother/daughter","[3, 4, 7, 9, 12, 13, 16, 20, 21]",32,African,Female,Very well,PASSED,462,BY,Black/African American,<=35,40598,train,"[0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0]",192
216,QID649,65,"Rob Schneider's infantile cross-dressing routines fill The Hot Chick, the latest gimmick from this unimaginative comedian.",negative,no sentiment,3,"gimmick,unimaginative","[11, 14]",27,African,Female,Very well,PASSED,399,BY,Black/African American,<=35,41583,train,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]",123
217,QID867,174,Bad and baffling from the get-go.,negative,negative,2,"Bad,baffling,get-go.","[0, 2, 5]",30,African,Male,Very well,PASSED,548,BY,Black/African American,<=35,41627,train,"[1, 0, 1, 0, 0, 1]",179
218,QID849,165,"After seeing the film, I can tell you that there's no other reason why anyone should bother remembering it.",negative,negative,2,bother,[16],22,African,Female,Very well,PASSED,534,BY,Black/African American,<=35,41831,train,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",202
219,QID709,95,"Cox offers plenty of glimpses at existing photos, but there are no movies of Nijinsky, so instead the director treats us to an aimless hodgepodge.",negative,negative,2,"the,director,treats,us,to,an,aimless,hodgepodge.","[17, 18, 19, 20, 21, 22, 23, 24]",23,Black/African American,Female,Very well,PASSED,442,BY,Black/African American,<=35,41940,train,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",108
221,QID895,188,"Like Rudy Yellow Lodge, Eyre needs to take a good sweat to clarify his cinematic vision before his next creation and remember the lessons of the trickster spider.",negative,negative,2,"Like,Rudy,Yellow,Lodge,,Eyre,needs,take,good,sweat,clarify,cinematic,vision,before,next,creation,remember,lessons,trickster,spider.","[0, 1, 2, 3, 4, 5, 7, 9, 10, 12, 14, 15, 16, 18, 19, 21, 23, 26, 27]",32,African,Female,Very well,PASSED,571,BY,Black/African American,<=35,42555,train,"[1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1]",198
222,QID521,1,"Bread, My Sweet has so many flaws it would be easy for critics to shred it.",negative,negative,2,flaws,[6],31,African,Female,Well,PASSED,302,BY,Black/African American,<=35,42813,train,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",173
224,QID873,177,"Although the sequel has all the outward elements of the original, the first film's lovely flakiness is gone, replaced by the forced funniness found in the dullest kiddie flicks.",negative,negative,2,"lovely,flakiness,gone,,forced,funniness,found,dullest","[14, 15, 17, 21, 22, 23, 26]",30,African,Male,Very well,PASSED,552,BY,Black/African American,<=35,43077,train,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0]",179
230,QID673,77,"Elegantly produced and expressively performed, the six musical numbers crystallize key plot moments into minutely detailed wonders of dreamlike ecstasy.",positive,positive,1,"Elegantly,produced,detailed,wonders,dreamlike,ecstasy.","[0, 1, 15, 16, 18, 19]",28,African,Male,Very well,PASSED,413,BY,Black/African American,<=35,43901,train,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1]",166
231,QID955,218,"... by the time it's done with us, Mira Nair's new movie has its audience giddy with the delight of discovery, of having been immersed in a foreign culture only to find that human nature is pretty much the same all over.",positive,no sentiment,3,"only,same","[29, 39]",26,African,Female,Very well,PASSED,628,BY,Black/African American,<=35,43913,train,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",114
232,QID781,131,After that it becomes long and tedious like a classroom play in a college history course.,negative,no sentiment,3,like,[7],24,Black/African American,Female,Very well,PASSED,487,BY,Black/African American,<=35,44255,train,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",193
233,QID541,11,"A first-class, thoroughly involving B movie that effectively combines two surefire, beloved genres -- the prison flick and the fight film.",positive,positive,1,"first-class,,thoroughly,involving,effectively,combines","[1, 2, 3, 7, 8]",27,African,Male,Very well,PASSED,320,BY,Black/African American,<=35,44292,train,"[0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",144
234,QID535,8,"The movie's plot is almost entirely witless and inane, carrying every gag two or three times beyond its limit to sustain a laugh.",negative,negative,2,"witless,inane,","[6, 8]",31,African,Female,Well,PASSED,313,BY,Black/African American,<=35,44296,train,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",173
235,QID699,90,Festers in just such a dungpile that you'd swear you were watching monkeys flinging their feces at you.,negative,negative,2,"dungpile,feces","[5, 15]",23,Black/African American,Female,Very well,PASSED,434,BY,Black/African American,<=35,44332,train,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",108
237,QID623,52,This thing works on no level whatsoever for me.,negative,negative,2,whatsoever,[6],30,African,Female,Very well,PASSED,379,BY,Black/African American,<=35,45044,train,"[0, 0, 0, 0, 0, 0, 1, 0, 0]",138
239,QID519,0,"Beautifully crafted, engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic, twisty yarn that will keep them guessing.",positive,positive,1,"Beautifully,nostalgic,","[0, 14]",31,African,Female,Well,PASSED,301,BY,Black/African American,<=35,45819,train,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",173
240,QID613,47,"A zombie movie in every sense of the word -- mindless, lifeless, meandering, loud, painful, obnoxious.",negative,no sentiment,3,"mindless,,lifeless,,meandering,,loud,,painful,,obnoxious.","[10, 11, 12, 13, 14, 15]",25,African,Female,Very well,PASSED,372,BY,Black/African American,<=35,46354,train,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1]",174
241,QID757,119,Isabelle Huppert excels as the enigmatic Mika and Anna Mouglalis is a stunning new young talent in one of Chabrol's most intense psychological mysteries.,positive,positive,1,"excels,enigmatic,stunning,new,young,talent","[2, 5, 12, 13, 14, 15]",32,African,Female,Very well,PASSED,470,BY,Black/African American,<=35,47180,train,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",192
243,QID947,214,An awful movie that will only satisfy the most emotionally malleable of filmgoers.,negative,negative,2,"awful,malleable","[1, 10]",26,African,Female,Very well,PASSED,622,BY,Black/African American,<=35,47498,train,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",114
244,QID913,197,"A breathtaking adventure for all ages, Spirit tells its poignant and uplifting story in a stunning fusion of music and images.",positive,positive,1,breathtaking,[1],23,African,Female,Very well,PASSED,592,BY,Black/African American,<=35,47914,train,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",131
245,QID937,209,Adam Sandler's Eight Crazy Nights grows on you -- like a rash.,negative,positive,1,"grows,on,you","[5, 6, 7]",34,Black/African American,Female,Very well,PASSED,614,BY,Black/African American,<=35,48248,train,"[0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0]",145
246,QID1003,242,It isn't that Stealing Harvard is a horrible movie -- if only it were that grand a failure!,negative,negative,2,Stealing,[3],27,Black/African American,Male,Very well,PASSED,670,BY,Black/African American,<=35,48344,train,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",143
248,QID655,68,"As quiet, patient and tenacious as Mr. Lopez himself, who approaches his difficult, endless work with remarkable serenity and discipline.",positive,positive,1,"quiet,,patient,tenacious","[1, 2, 4]",27,African,Female,Very well,PASSED,404,BY,Black/African American,<=35,49093,train,"[0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",123
249,QID659,70,What a great shame that such a talented director as Chen Kaige has chosen to make his English-language debut with a film so poorly plotted and scripted.,negative,negative,2,"great,shame,poorly,plotted,and,scripted.","[2, 3, 23, 24, 25, 26]",28,African,Male,Very well,PASSED,406,BY,Black/African American,<=35,49442,train,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]",166
250,QID1009,245,"Thanks largely to Williams, all the interesting developments are processed in 60 minutes -- the rest is just an overexposed waste of film.",negative,negative,2,largely,[1],27,Black/African American,Male,Very well,PASSED,676,BY,Black/African American,<=35,49464,train,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",143
